,type,name,salary,score,contract,include,exclude,locked,points,i
1,driver,Norris,28.6,155,,1.0,,False,743,3874
3,driver,Hamilton,25.8,140,,,,False,743,3874
11,driver,Sainz,14.6,192,,1.0,,False,743,3874
12,driver,Ocon,13.2,91,,,,False,743,3874
19,driver,Bortoleto,3.4,75,,,,False,743,3874
26,team,Williams,13.2,90,,1.0,,False,743,3769
1,driver,Norris,28.6,155,,1.0,,False,743,3769
3,driver,Hamilton,25.8,140,,,,False,743,3769
11,driver,Sainz,14.6,192,,1.0,,False,743,3769
12,driver,Ocon,13.2,91,,,,False,743,3769
19,driver,Bortoleto,3.4,75,,,,False,743,3769
26,team,Williams,13.2,90,,1.0,,False,743,3669
1,driver,Norris,28.6,155,,1.0,,False,743,3669
3,driver,Hamilton,25.8,140,,,,False,743,3669
11,driver,Sainz,14.6,192,,1.0,,False,743,3669
12,driver,Ocon,13.2,91,,,,False,743,3669
19,driver,Bortoleto,3.4,75,,,,False,743,3669
26,team,Williams,13.2,90,,1.0,,False,743,3573
1,driver,Norris,28.6,155,,1.0,,False,743,3573
7,driver,Antonelli,20.2,120,,,,False,743,3573
8,driver,Alonso,18.8,111,,,,False,743,3573
11,driver,Sainz,14.6,192,,1.0,,False,743,3573
19,driver,Bortoleto,3.4,75,,,,False,743,3573
26,team,Williams,13.2,90,,1.0,,False,743,3455
1,driver,Norris,28.6,155,,1.0,,False,743,3455
7,driver,Antonelli,20.2,120,,,,False,743,3455
8,driver,Alonso,18.8,111,,,,False,743,3455
11,driver,Sainz,14.6,192,,1.0,,False,743,3455
19,driver,Bortoleto,3.4,75,,,,False,743,3455
26,team,Williams,13.2,90,,1.0,,False,743,3334
1,driver,Norris,28.6,155,,1.0,,False,743,3334
2,driver,Leclerc,27.2,144,,,,False,743,3334
11,driver,Sainz,14.6,192,,1.0,,False,743,3334
13,driver,Albon,11.8,87,,,,False,743,3334
19,driver,Bortoleto,3.4,75,,,,False,743,3334
26,team,Williams,13.2,90,,1.0,,False,743,3103
1,driver,Norris,28.6,155,,1.0,,False,743,3103
7,driver,Antonelli,20.2,120,,,,False,743,3103
8,driver,Alonso,18.8,111,,,,False,743,3103
11,driver,Sainz,14.6,192,,1.0,,False,743,3103
19,driver,Bortoleto,3.4,75,,,,False,743,3103
26,team,Williams,13.2,90,,1.0,,False,743,2980
1,driver,Norris,28.6,155,,1.0,,False,743,2980
3,driver,Hamilton,25.8,140,,,,False,743,2980
11,driver,Sainz,14.6,192,,1.0,,False,743,2980
12,driver,Ocon,13.2,91,,,,False,743,2980
